name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"-33.3537,-70.6811",2023-06-27,12.6,6.6,9.8,12.6,6,9.6,6,78.1,1.9,100,41.67,rain,0,0.1,20.9,18.4,175.3,1023.3,76.8,9.7,64.6,5.6,3,10,2023-06-27T07:47:16,2023-06-27T17:44:29,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2023-06-28,11.4,2.2,6.7,11.4,0.6,6.1,4.7,87.8,0,0,0,,0,0.2,19.4,10.6,347.5,1019.6,55.1,6.7,96.1,8.2,4,10,2023-06-28T07:47:20,2023-06-28T17:44:50,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2023-06-29,20,2.1,9.1,20,-0.4,8.8,3.6,73.8,0,0,0,,0,0.2,16.6,14.8,162,1019.3,34.2,6.8,128.8,11,5,10,2023-06-29T07:47:22,2023-06-29T17:45:13,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2023-06-30,22,2.5,10.7,22,1.6,10.4,3.7,67.8,0,0,0,,0,0.2,16.9,11.5,135,1018.5,0.5,7.6,142.3,12.3,6,10,2023-06-30T07:47:23,2023-06-30T17:45:36,0.41,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2023-07-01,22,3.4,11.2,22,2.2,11,4.4,68.2,0,0,0,,0,0,20.5,18.2,167.4,1014,53.7,9.5,135.5,11.7,5,10,2023-07-01T07:47:23,2023-07-01T17:46:01,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,remote,85574099999"
"-33.3537,-70.6811",2023-07-02,10.5,5.3,8.1,10.5,4.2,7.1,6.8,92.1,0,0,0,,0,0,21.2,16.5,131,1019.7,79.1,3.8,132.4,11.5,5,10,2023-07-02T07:47:20,2023-07-02T17:46:26,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2023-07-03,17.3,5,9,17.3,3.7,8.4,5.5,81.8,0,0,0,,0,0,20.2,14.8,297,1020,61.9,4.3,141.1,12.2,6,10,2023-07-03T07:47:17,2023-07-03T17:46:53,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2023-07-04,16.7,4.2,9.8,16.7,3.8,9.5,5.3,75.2,0.3,100,12.5,rain,0,0,26.3,16.6,174.6,1022.8,26.8,7.7,140.8,12.1,6,10,2023-07-04T07:47:12,2023-07-04T17:47:20,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2023-07-05,16.8,2.6,9.9,16.8,1.3,9.8,4.7,73.1,0,0,0,,0,0,23.8,15.6,199,1022.4,35.8,8.1,143.1,12.3,6,10,2023-07-05T07:47:05,2023-07-05T17:47:48,0.58,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2023-07-06,14,7.1,10,14,6.1,9.9,6,77.1,0,0,0,,0,0,18.7,10.3,202.2,1019.2,81.4,9.3,91.1,7.9,4,10,2023-07-06T07:46:56,2023-07-06T17:48:18,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999"
